campaign_tag,sample_id,sample_index,method_order,method_key,method_label,method_group,schedule_mode,target_selection_mode,target_fraction,target_selected_count,target_total_params,seed,ground_energy,top_energy,jzz,hx,hz,clean_final_energy,final_e,absolute_gap,normalized_gap,spectrum_span,bad_final,diverged,total_steps,time_s
commeff_tfim_8qubit,H00000,0,1,clean,clean,clean,,,,,96,0,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-8.29077,-8.29077,1.8926671244016884,0.0929,20.366874248803377,False,False,1000,46.8
commeff_tfim_8qubit,H00000,0,2,full,full,full_noise,staged_prob_schedule,,1.0,96,96,0,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-8.29077,-8.85707,1.3263671244016884,0.0651,20.366874248803377,False,False,640,945.3
commeff_tfim_8qubit,H00000,0,3,top10_fixed,top10_fixed,targeted_pauli,staged_prob_schedule,top,0.1,10,96,0,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-8.29077,-7.61461,2.5688271244016887,0.1261,20.366874248803377,True,False,610,643.6
commeff_tfim_8qubit,H00000,0,4,top50_fixed,top50_fixed,targeted_pauli,staged_prob_schedule,top,0.5,48,96,0,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-8.29077,-9.05562,1.1278171244016892,0.0554,20.366874248803377,False,False,1250,1590.9
commeff_tfim_8qubit,H00000,0,5,top90_fixed,top90_fixed,targeted_pauli,staged_prob_schedule,top,0.9,86,96,0,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-8.29077,-8.86114,1.322297124401688,0.0649,20.366874248803377,False,False,650,1077.6
commeff_tfim_8qubit,H00000,0,6,bottom10_fixed,bottom10_fixed,targeted_pauli,staged_prob_schedule,bottom,0.1,10,96,0,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-8.29077,-7.8906,2.2928371244016885,0.1126,20.366874248803377,True,False,650,1268.7
commeff_tfim_8qubit,H00000,0,7,bottom50_fixed,bottom50_fixed,targeted_pauli,staged_prob_schedule,bottom,0.5,48,96,0,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-8.29077,-8.84113,1.3423071244016889,0.0659,20.366874248803377,False,False,620,1310.0
commeff_tfim_8qubit,H00000,0,8,bottom90_fixed,bottom90_fixed,targeted_pauli,staged_prob_schedule,bottom,0.9,86,96,0,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-8.29077,-8.85984,1.3235971244016884,0.065,20.366874248803377,False,False,600,1488.0
commeff_tfim_8qubit,H00000,0,1,clean,clean,clean,,,,,96,1,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-6.03009,-6.03009,4.153347124401688,0.2039,20.366874248803377,True,False,1000,93.6
commeff_tfim_8qubit,H00000,0,2,full,full,full_noise,staged_prob_schedule,,1.0,96,96,1,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-6.03009,-8.85737,1.326067124401689,0.0651,20.366874248803377,False,False,530,1291.2
commeff_tfim_8qubit,H00000,0,3,top10_fixed,top10_fixed,targeted_pauli,staged_prob_schedule,top,0.1,10,96,1,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-6.03009,-9.63046,0.5529771244016892,0.0272,20.366874248803377,False,False,720,1263.8
