method_key,threshold,overall_bad_count,overall_bad_rate
clean,0.01,487,0.974
clean,0.05,445,0.89
clean,0.1,254,0.508
clean,0.2,11,0.022
clean,0.3,0,0.0
full,0.01,442,0.884
full,0.05,224,0.448
full,0.1,124,0.248
full,0.2,2,0.004
full,0.3,0,0.0
top10_fixed,0.01,487,0.974
top10_fixed,0.05,462,0.924
top10_fixed,0.1,380,0.76
top10_fixed,0.2,73,0.146
top10_fixed,0.3,0,0.0
top50_fixed,0.01,488,0.976
top50_fixed,0.05,461,0.922
top50_fixed,0.1,303,0.606
top50_fixed,0.2,20,0.04
top50_fixed,0.3,0,0.0
top90_fixed,0.01,439,0.878
top90_fixed,0.05,216,0.432
top90_fixed,0.1,118,0.236
top90_fixed,0.2,0,0.0
top90_fixed,0.3,0,0.0
bottom10_fixed,0.01,486,0.972
bottom10_fixed,0.05,443,0.886
bottom10_fixed,0.1,283,0.566
bottom10_fixed,0.2,27,0.054
bottom10_fixed,0.3,0,0.0
bottom50_fixed,0.01,446,0.892
bottom50_fixed,0.05,319,0.638
bottom50_fixed,0.1,221,0.442
bottom50_fixed,0.2,31,0.062
bottom50_fixed,0.3,0,0.0
bottom90_fixed,0.01,441,0.882
bottom90_fixed,0.05,196,0.392
bottom90_fixed,0.1,101,0.202
bottom90_fixed,0.2,3,0.006
bottom90_fixed,0.3,0,0.0
shot_100,0.01,495,0.99
shot_100,0.05,470,0.94
shot_100,0.1,357,0.714
shot_100,0.2,34,0.068
shot_100,0.3,0,0.0
