campaign_tag,sample_id,sample_index,method_order,method_key,method_label,method_group,schedule_mode,shots,target_selection_mode,target_fraction,target_selected_count,target_total_params,seed,ground_energy,top_energy,jzz,hx,hz,clean_final_energy,final_e,absolute_gap,normalized_gap,spectrum_span,bad_final,diverged,total_steps,time_s,source
commeff_tfim_8qubit_highNoise,H00000,0,1,clean,clean,clean,,,,,,96,0,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-8.29077,-8.29077,1.8926671244016884,0.0929,20.366874248803377,False,False,1000,99.5,sweep_8qubit_highNoise.py
commeff_tfim_8qubit_highNoise,H00000,0,2,full,full,full_noise,staged_prob_schedule,,,1.0,96,96,0,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-8.29077,-8.8523,1.331137124401689,0.0654,20.366874248803377,False,False,960,2452.8,sweep_8qubit_highNoise.py
commeff_tfim_8qubit_highNoise,H00000,0,3,top10_fixed,top10_fixed,targeted_pauli,staged_prob_schedule,,top,0.1,10,96,0,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-8.29077,-8.29639,1.887047124401688,0.0927,20.366874248803377,False,False,1030,1721.8,sweep_8qubit_highNoise.py
commeff_tfim_8qubit_highNoise,H00000,0,4,top50_fixed,top50_fixed,targeted_pauli,staged_prob_schedule,,top,0.5,48,96,0,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-8.29077,-6.88741,3.2960271244016885,0.1618,20.366874248803377,True,False,780,1654.2,sweep_8qubit_highNoise.py
commeff_tfim_8qubit_highNoise,H00000,0,5,top90_fixed,top90_fixed,targeted_pauli,staged_prob_schedule,,top,0.9,86,96,0,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-8.29077,-8.85806,1.3253771244016885,0.0651,20.366874248803377,False,False,870,2393.8,sweep_8qubit_highNoise.py
commeff_tfim_8qubit_highNoise,H00000,0,6,bottom10_fixed,bottom10_fixed,targeted_pauli,staged_prob_schedule,,bottom,0.1,10,96,0,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-8.29077,-7.7447,2.4387371244016887,0.1197,20.366874248803377,True,False,790,2179.0,sweep_8qubit_highNoise.py
commeff_tfim_8qubit_highNoise,H00000,0,7,bottom50_fixed,bottom50_fixed,targeted_pauli,staged_prob_schedule,,bottom,0.5,48,96,0,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-8.29077,-6.21715,3.9662871244016884,0.1947,20.366874248803377,True,False,740,2099.5,sweep_8qubit_highNoise.py
commeff_tfim_8qubit_highNoise,H00000,0,8,bottom90_fixed,bottom90_fixed,targeted_pauli,staged_prob_schedule,,bottom,0.9,86,96,0,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-8.29077,-9.00304,1.1803971244016882,0.058,20.366874248803377,False,False,970,2858.2,sweep_8qubit_highNoise.py
commeff_tfim_8qubit_highNoise,H00000,0,9,shot_100,shot_100,shot,,100,,,,,0,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-8.29077,-8.864794063520957,1.3186430608807314,0.06474449858000215,20.366874248803377,False,False,1000,,targeted_tfim_8qubit (borrowed baseline)
commeff_tfim_8qubit_highNoise,H00000,0,1,clean,clean,clean,,,,,,96,1,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-6.03009,-6.03009,4.153347124401688,0.2039,20.366874248803377,True,False,1000,110.9,sweep_8qubit_highNoise.py
commeff_tfim_8qubit_highNoise,H00000,0,2,full,full,full_noise,staged_prob_schedule,,,1.0,96,96,1,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-6.03009,-8.85302,1.3304171244016878,0.0653,20.366874248803377,False,False,590,1692.0,sweep_8qubit_highNoise.py
commeff_tfim_8qubit_highNoise,H00000,0,3,top10_fixed,top10_fixed,targeted_pauli,staged_prob_schedule,,top,0.1,10,96,1,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-6.03009,-8.02056,2.162877124401689,0.1062,20.366874248803377,True,False,1120,2334.1,sweep_8qubit_highNoise.py
commeff_tfim_8qubit_highNoise,H00000,0,4,top50_fixed,top50_fixed,targeted_pauli,staged_prob_schedule,,top,0.5,48,96,1,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-6.03009,-6.91616,3.267277124401689,0.1604,20.366874248803377,True,False,990,2634.8,sweep_8qubit_highNoise.py
commeff_tfim_8qubit_highNoise,H00000,0,5,top90_fixed,top90_fixed,targeted_pauli,staged_prob_schedule,,top,0.9,86,96,1,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-6.03009,-8.85826,1.325177124401689,0.0651,20.366874248803377,False,False,1010,2788.6,sweep_8qubit_highNoise.py
commeff_tfim_8qubit_highNoise,H00000,0,6,bottom10_fixed,bottom10_fixed,targeted_pauli,staged_prob_schedule,,bottom,0.1,10,96,1,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-6.03009,-9.09646,1.0869771244016881,0.0534,20.366874248803377,False,False,750,1416.2,sweep_8qubit_highNoise.py
commeff_tfim_8qubit_highNoise,H00000,0,7,bottom50_fixed,bottom50_fixed,targeted_pauli,staged_prob_schedule,,bottom,0.5,48,96,1,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-6.03009,-8.7333,1.4501371244016887,0.0712,20.366874248803377,False,False,1270,3009.8,sweep_8qubit_highNoise.py
commeff_tfim_8qubit_highNoise,H00000,0,8,bottom90_fixed,bottom90_fixed,targeted_pauli,staged_prob_schedule,,bottom,0.9,86,96,1,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-6.03009,-8.85602,1.3274171244016895,0.0652,20.366874248803377,False,False,960,2811.9,sweep_8qubit_highNoise.py
commeff_tfim_8qubit_highNoise,H00000,0,9,shot_100,shot_100,shot,,100,,,,,1,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-6.03009,-7.26522766308775,2.918209461313938,0.14328214657118513,20.366874248803377,True,False,1000,,targeted_tfim_8qubit (borrowed baseline)
commeff_tfim_8qubit_highNoise,H00000,0,1,clean,clean,clean,,,,,,96,2,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-6.26621,-6.26621,3.9172271244016885,0.1923,20.366874248803377,True,False,1000,108.4,sweep_8qubit_highNoise.py
commeff_tfim_8qubit_highNoise,H00000,0,2,full,full,full_noise,staged_prob_schedule,,,1.0,96,96,2,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-6.26621,-8.85358,1.3298571244016895,0.0653,20.366874248803377,False,False,1120,3232.0,sweep_8qubit_highNoise.py
commeff_tfim_8qubit_highNoise,H00000,0,3,top10_fixed,top10_fixed,targeted_pauli,staged_prob_schedule,,top,0.1,10,96,2,-10.183437124401689,10.183437124401689,-1.022768208338797,1.0429285161955684,0.0,-6.26621,-8.49744,1.6859971244016894,0.0828,20.366874248803377,False,False,1200,2563.0,sweep_8qubit_highNoise.py
