method_key,threshold,overall_bad_count,overall_bad_rate
clean,0.01,487,0.974
clean,0.05,445,0.89
clean,0.1,254,0.508
clean,0.2,11,0.022
clean,0.3,0,0.0
full,0.01,411,0.822
full,0.05,160,0.32
full,0.1,60,0.12
full,0.2,1,0.002
full,0.3,0,0.0
top10_fixed,0.01,486,0.972
top10_fixed,0.05,458,0.916
top10_fixed,0.1,358,0.716
top10_fixed,0.2,63,0.126
top10_fixed,0.3,0,0.0
top50_fixed,0.01,482,0.964
top50_fixed,0.05,457,0.914
top50_fixed,0.1,299,0.598
top50_fixed,0.2,24,0.048
top50_fixed,0.3,0,0.0
top90_fixed,0.01,414,0.828
top90_fixed,0.05,169,0.338
top90_fixed,0.1,66,0.132
top90_fixed,0.2,0,0.0
top90_fixed,0.3,0,0.0
bottom10_fixed,0.01,489,0.978
bottom10_fixed,0.05,444,0.888
bottom10_fixed,0.1,268,0.536
bottom10_fixed,0.2,16,0.032
bottom10_fixed,0.3,0,0.0
bottom50_fixed,0.01,458,0.916
bottom50_fixed,0.05,335,0.67
bottom50_fixed,0.1,222,0.444
bottom50_fixed,0.2,31,0.062
bottom50_fixed,0.3,0,0.0
bottom90_fixed,0.01,439,0.878
bottom90_fixed,0.05,213,0.426
bottom90_fixed,0.1,110,0.22
bottom90_fixed,0.2,7,0.014
bottom90_fixed,0.3,0,0.0
shot_100,0.01,495,0.99
shot_100,0.05,470,0.94
shot_100,0.1,357,0.714
shot_100,0.2,34,0.068
shot_100,0.3,0,0.0
