key,final_e,normalized_gap,steps,time_s,k,frac,h_id,seed
pruned_19_clean,-3.82682,0.7621,1000,33.5,19,0.20,H00001,54
pruned_38_clean,-5.15653,0.6795,1000,44.9,38,0.40,H00001,54
pruned_58_clean,-9.49077,0.4100,1000,57.3,58,0.60,H00001,54
pruned_77_clean,-9.79984,0.3908,1000,66.5,77,0.80,H00001,54
pruned_96_clean,-10.88259,0.3235,1000,78.5,96,1.00,H00001,54
noise_full,-15.41912,0.0415,1250,2711.2,96,1.00,H00001,54
pruned_19_noise,nan,nan,9000,10114.0,19,0.20,H00001,54
pruned_38_noise,-4.59281,0.7145,950,1256.7,38,0.40,H00001,54
pruned_58_noise,-6.42994,0.6003,890,1865.0,58,0.60,H00001,54
pruned_77_noise,-4.59281,0.7145,850,2024.9,77,0.80,H00001,54
pruned_96_noise,-15.41912,0.0415,1250,5538.9,96,1.00,H00001,54
selective_19_noise,-13.98410,0.1307,1190,2660.8,19,0.20,H00001,54
selective_38_noise,-9.81093,0.3901,810,1629.9,38,0.40,H00001,54
selective_58_noise,-11.79810,0.2666,1790,4223.9,58,0.60,H00001,54
selective_77_noise,-15.41915,0.0415,1360,3352.4,77,0.80,H00001,54
selective_96_noise,-15.41912,0.0415,1250,3424.4,96,1.00,H00001,54
inv_sel_19_noise,-12.50012,0.2230,1260,3222.9,19,0.20,H00001,54
inv_sel_38_noise,-15.41912,0.0415,1110,2655.1,38,0.40,H00001,54
inv_sel_58_noise,-10.69530,0.3352,1190,2599.8,58,0.60,H00001,54
inv_sel_77_noise,-12.09122,0.2484,990,1919.3,77,0.80,H00001,54
inv_sel_96_noise,-10.75389,0.3315,580,904.1,96,1.00,H00001,54
